bbb ☷
mmm ☰
cmm ☱
mcm ☲
ccm ☳
mmc ☴
cmc ☵
mcc ☶
ccc ☷
tm  ☱
mt  ☲
ct  ☳
tc  ☵
m     ㈠
mm    ㈡
mmm   ㈢
wc    ㈣
whu   ㈣
mdm   ㈤
yc    ㈥
ju    ㈦
jv    ㈦
ho    ㈧
kn    ㈨
j     ㈩
a     ㈰
b     ㈪
c     ㈮
d     ㈭
e     ㈬
f     ㈫
g     ㈯
dhjd  ㈱
kb    ㈲
ifg   ㈳
mfg   ㈳
nir   ㈴
hqgdi ㈵
bcdh  ㈶
ifrhu ㈷
mfrhu ㈷
fbks  ㈸
oip   ㈹
rhfd  ㈺
fbnd  ㈻
xbnd  ㈻
smbt  ㈼
sibt  ㈼
ox    ㈽
mobuc ㈾
iobuc ㈾
jkss  ㈿
bommf ㉀
od    ㉁
hbu   ㉂
mig   ㉃
anr   ㉄
viks  ㉅
yk    ㉆
hbsd  ㉇
hnsd  ㉇
m     ㊀
mm    ㊁
mmm   ㊂
wc    ㊃
whu   ㊃
mdm   ㊄
yc    ㊅
ju    ㊆
jv    ㊆
ho    ㊇
kn    ㊈
j     ㊉
a     ㊐
b     ㊊
c     ㊎
d     ㊍
e     ㊌
f     ㊋
g     ㊏
dhjd  ㊑
kb    ㊒
ifg   ㊓
mfg   ㊓
nir   ㊔
hqgdi ㊕
bcdh  ㊖
ifrhu ㊗
mfrhu ㊗
fbks  ㊘
ffbks ㊘
hdph  ㊙
wks   ㊚
v     ㊛
yyjr  ㊜
ombe  ㊝
hpsl  ㊞
eyg   ㊟
mmz   ㊠
od    ㊡
bysm  ㊢
jxpf  ㊢
mx    ㊣
ym    ㊤
l     ㊥
my    ㊦
km    ㊧
kr    ㊨
sok   ㊩
semcw ㊩
jmmf  ㊪
fbnd  ㊫
xbnd  ㊫
sibt  ㊬
smbt  ㊬
ox    ㊭
iobuc ㊮
mobuc ㊮
jkss  ㊯
yok   ㊰
mjihs ㍻
asrr  ㍼
kmx   ㍽
aber  ㍾
dmoig ㍿
l     🀄 
ss    🈁
jk    🈂
b     🈷
kb    🈶 
qpa   🈯 
hoami 🉐 
jqrln 🈹 
otf   🈚 
ddmmf 🈲 
mnr   🉑 
lwl   🈸 
or    🈴 
jcm   🈳 
fbrr  🈺 
fbrhr 🈺  
ffbrr 🈺 
etub  🈵 
etlb  🈵 
etmb  🈵 
# Z鍵符號
za ‘
za ’
za “
za ”
za 〈
za 〉
za 《
za 》
za 「
za 」
za 『
za 』
za 【
za 】
za 〔
za 〕
za 〖
za 〗
za ■
za □
za ▲
za △
za ▽
za ▼
za ◆
za ◇
za ○
za ◎
za ●
za ↑
za →
za ↓
za ←
za …
za 〓
za ☆
za ★
za ※
za №
zb ⅰ
zb ⅱ
zb ⅲ
zb ⅳ
zb ⅴ
zb ⅵ
zb ⅶ
zb ⅷ
zb ⅸ
zb ⅹ
zba ⒈
zba ⒉
zba ⒊
zba ⒋
zba ⒌
zba ⒍
zba ⒎
zba ⒏
zba ⒐
zba ⒑
zba ⒒
zba ⒓
zba ⒔
zba ⒕
zba ⒖
zba ⒗
zba ⒘
zba ⒙
zba ⒚
zba ⒛
zbb ⑴
zbb ⑵
zbb ⑶
zbb ⑷
zbb ⑸
zbb ⑹
zbb ⑺
zbb ⑻
zbb ⑼
zbb ⑽
zbb ⑾
zbb ⑿
zbb ⒀
zbb ⒁
zbb ⒂
zbb ⒃
zbb ⒄
zbb ⒅
zbb ⒆
zbb ⒇
zbc ①
zbc ②
zbc ③
zbc ④
zbc ⑤
zbc ⑥
zbc ⑦
zbc ⑧
zbc ⑨
zbc ⑩
zbc ⑪
zbc ⑫
zbc ⑬
zbc ⑭
zbc ⑮
zbc ⑯
zbc ⑰
zbc ⑱
zbc ⑲
zbc ⑳
zbc ㉑
zbc ㉒
zbc ㉓
zbc ㉔
zbc ㉕
zbc ㉖
zbc ㉗
zbc ㉘
zbc ㉙
zbc ㉚
zbc ㉛
zbc ㉜
zbc ㉝
zbc ㉞
zbc ㉟
zbc ㊱
zbc ㊲
zbc ㊳
zbc ㊴
zbc ㊵
zbc ㊶
zbc ㊷
zbc ㊸
zbc ㊹
zbc ㊺
zbc ㊻
zbc ㊼
zbc ㊽
zbc ㊾
zbc ㊿
zbd ㈠
zbd ㈡
zbd ㈢
zbd ㈣
zbd ㈤
zbd ㈥
zbd ㈦
zbd ㈧
zbd ㈨
zbd ㈩
zbe Ⅰ
zbe Ⅱ
zbe Ⅲ
zbe Ⅳ
zbe Ⅴ
zbe Ⅵ
zbe Ⅶ
zbe Ⅷ
zbe Ⅸ
zbe Ⅹ
zbe Ⅺ
zbe Ⅻ
zc ぁ
zc あ
zc ぃ
zc い
zc ぅ
zc う
zc ぇ
zc え
zc ぉ
zc お
zc か
zc が
zc き
zc ぎ
zc く
zc ぐ
zc け
zc げ
zc こ
zc ご
zc さ
zc ざ
zc し
zc じ
zc す
zc ず
zc せ
zc ぜ
zc そ
zc ぞ
zc た
